"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365CH","B365CD","B365CA"
"04/11/2024","Samsunspor","Antalyaspor","2","0","H","1","0","H","16","10","8","4","16","14","5","2","3","1","0","0","1.75","3.5","4.5","1.53","3.8","6.5"
"08/11/2024","Kasimpasa","Kayserispor","1","2","A","0","1","A","16","10","2","4","14","10","7","4","2","5","0","1","1.8","3.6","4.2","1.75","3.6","4.5"
"09/11/2024","Antalyaspor","Bodrumspor","3","2","H","3","1","H","13","11","5","5","11","10","4","5","3","1","0","0","2.4","3","3.25","2.3","3","3.3"
"09/11/2024","Hatayspor","Gaziantep","3","1","H","2","1","H","16","10","6","6","18","11","5","6","2","2","0","1","2.5","3.4","2.75","2.25","3.4","3"
"09/11/2024","Ad. Demirspor","Eyupspor","0","1","A","0","1","A","7","6","1","1","10","20","9","2","2","3","0","0","4.75","4","1.7","3.75","3.4","2"
"09/11/2024","Rizespor","Trabzonspor","3","1","H","1","1","D","11","11","6","3","14","17","1","5","2","3","0","0","2.7","3.4","2.5","2.35","3.4","2.9"
"10/11/2024","Goztep","Konyaspor","2","0","H","0","0","D","17","12","5","3","13","9","5","6","3","3","0","0","2","3.5","3.75","1.95","3.5","3.8"
"10/11/2024","Galatasaray","Samsunspor","3","2","H","1","0","H","19","10","7","5","13","13","7","3","3","4","0","0","1.42","4.75","6.5","1.4","5","6.5"
"10/11/2024","Buyuksehyr","Besiktas","0","0","D","0","0","D","11","12","1","1","9","15","6","2","3","3","0","0","3","3.3","2.38","3.4","3.3","2.15"
"10/11/2024","Fenerbahce","Sivasspor","4","0","H","1","0","H","24","6","8","1","11","15","8","5","1","6","0","0","1.2","7","12","1.17","8","12"
"23/11/2024","Eyupspor","Rizespor","1","2","A","1","0","H","15","13","6","4","10","15","5","7","5","5","0","1","1.95","3.4","3.8","2.35","3.25","3.1"
